Fourth moment,Kurtosis,Modulation type
1.1957494e-05,2.6445467,0.0
1.1451067e-05,2.6425203,0.0
1.1779157e-05,2.6279968,0.0
1.1760839999999999e-05,2.6402511000000004,0.0
1.1830969e-05,2.6517872,0.0
1.1933787e-05,2.6392330000000004,0.0
1.1634006e-05,2.6390559,0.0
1.1828196e-05,2.6300395,0.0
1.1855768e-05,2.637907,0.0
1.1680586e-05,2.659437,0.0
1.1789004e-05,2.6360322,0.0
1.1992342e-05,2.6283713,0.0
1.18445e-05,2.6334107,0.0
1.1448626e-05,2.6597125,0.0
1.1986082e-05,2.6484882,0.0
1.1861518e-05,2.642131,0.0
1.1405522e-05,2.6521564,0.0
1.1775289e-05,2.6582567000000004,0.0
1.1928354e-05,2.6445288,0.0
1.1987906e-05,2.6428573,0.0
1.1709829e-05,2.6558864,0.0
1.1883124e-05,2.6564758,0.0
1.1777792999999997e-05,2.6371721000000004,0.0
1.1754532e-05,2.6642043,0.0
1.1809208e-05,2.61347,0.0
1.1620627999999997e-05,2.5983893,0.0
1.1778963e-05,2.6338981,0.0
1.1962055e-05,2.6519819,0.0
1.1854584e-05,2.6266756,0.0
1.1896912e-05,2.6405802000000005,0.0
1.1826449e-05,2.6548713,0.0
1.1906825e-05,2.6625315,0.0
1.1798109e-05,2.6633978,0.0
1.186654e-05,2.6455395,0.0
1.1256359e-05,2.768376,1.0
1.1277204e-05,2.7548212000000003,1.0
1.1283788999999997e-05,2.6912632000000003,1.0
1.1023796e-05,2.6998313,1.0
1.1334925e-05,2.7235669,1.0
1.1224006e-05,2.6958361,1.0
1.1127657e-05,2.6887654,1.0
1.1422061e-05,2.6880826,1.0
1.1120991e-05,2.750367,1.0
1.1096857e-05,2.6768334,1.0
1.149265e-05,2.7090491,1.0
1.1204124999999997e-05,2.7006687,1.0
1.1148116e-05,2.6716491,1.0
1.1082393e-05,2.7208361,1.0
1.1461681e-05,2.7063072,1.0
1.1020374e-05,2.695364,1.0
1.1110726e-05,2.6971866,1.0
1.1107948e-05,2.7427092,1.0
1.1064375e-05,2.7143968,1.0
1.1266751e-05,2.7562981,1.0
1.1075073e-05,2.6371844,1.0
1.1215565e-05,2.6730423,1.0
1.1079095e-05,2.7060779,1.0
1.1079531e-05,2.7738144,1.0
1.146829e-05,2.7208534,1.0
1.1126168e-05,2.7023655,1.0
1.1020313e-05,2.6940957,1.0
1.1092593e-05,2.7341186,1.0
1.1053443e-05,2.7286842,1.0
1.1294155e-05,2.7181256,1.0
1.1050896e-05,2.7245365,1.0
1.1148513e-05,2.6689449,1.0
1.1092876e-05,2.6571927000000004,1.0
1.1188641e-05,2.6903193,1.0
1.1269093e-05,2.7243888,1.0
1.1146928e-05,2.728554,1.0
1.1122516e-05,2.674474,1.0
1.1297956999999997e-05,2.7107049,1.0
1.1054333e-05,2.7122884,1.0
1.1143473e-05,2.7220783,1.0
1.1694048e-05,2.6755493,1.0
1.1086311e-05,2.734977,1.0
1.1188897999999997e-05,2.7905603,1.0
1.1246072999999997e-05,2.6478875,1.0
1.1382358e-05,2.7116443,1.0
1.1024917e-05,2.7325346,1.0
1.1195349000000003e-05,2.6884625,1.0
1.166998e-05,2.6806192,1.0
1.116019e-05,2.6266789,1.0
1.1225412e-05,2.749056,1.0
1.1135794e-05,2.7649376,1.0
1.1009732e-05,2.62641,1.0
1.1258579e-05,2.7004341,1.0
1.119874e-05,2.6730406,1.0
1.1183551e-05,2.7125731,1.0
1.138478e-05,2.7248827,1.0
1.1540576e-05,2.767164,1.0
1.150504e-05,2.7312459,1.0
1.1476281e-05,2.6130723,1.0
1.1608519e-05,2.685649,1.0
1.1415138e-05,2.7032998,1.0
1.1354464e-05,2.697884,1.0
1.152324e-05,2.6964315,1.0
1.1846135e-05,2.7078289,1.0
1.1043843e-05,2.6396407,1.0
1.1902358e-05,2.7255113,1.0
1.11805e-05,2.7073982999999995,1.0
1.1305697e-05,2.7629005,1.0
1.1066815e-05,2.6623624,1.0
1.166022e-05,2.7713717,1.0
1.1038827e-05,2.7414656,1.0
1.1340777e-05,2.6883858,1.0
1.1311394e-05,2.7437857999999995,1.0
1.1175157e-05,2.7181773,1.0
1.1563677e-05,2.6337911,1.0
1.1628558e-05,2.6963177000000003,1.0
1.1318163e-05,2.6509002,1.0
1.1165179e-05,2.7071152,1.0
1.1351353e-05,2.7152568,1.0
1.1960506e-05,2.6501939,1.0
1.1141212e-05,2.7030883,1.0
1.1025820000000003e-05,2.5875702,1.0
1.1025933e-05,2.686767,1.0
1.1306868e-05,2.6885721,1.0
1.1738468e-05,2.6666648,1.0
1.1137175e-05,2.6614153,1.0
